99.7,72.4,98.7,98.8,34.5,748.037
97.7,54.6,98,99.9,83.7,748.037
97.8,82.3,91.4,99.9,87.5,748.037
98.3,29.5,98.1,99.2,64.3,748.037
90.9,70.3,95.4,99.9,70,748.037
90.5,77.7,94.1,94,57,698.496
88.2,77.2,93.9,95.1,73.5,698.496
84.2,39.6,99.3,97.8,70,748.037
89.2,90,94.5,88.3,92.9,698.496
92.1,59.2,89.7,91.5,70,748.037
83,48.1,92.9,93.2,70,748.037
79.1,62.8,87.9,96.9,70,748.037
80.9,58.5,89.2,92.3,100,748.037
82.2,62.4,88.8,88.1,34.7,748.037
77.5,93.7,87.8,83.1,70,1296.412
83.9,53.3,89.1,84.1,59.6,748.037
75.8,70,87.9,82.2,70,695.607
73.8,90.9,73.8,92.6,70,748.037
71.8,32.9,82.7,93.6,43.7,748.037
70.3,39.1,79.3,95.7,53.7,748.037
68.4,91.4,71.4,96.1,56.5,836.098
74,90.8,81.6,80.6,39,698.496
68.2,49,77.1,95.9,32.8,748.037
66.8,49.4,71.5,92.3,100,748.037
64.5,60.5,68.8,95.3,70,748.037
87.7,18.4,91.9,58.1,70,891.631
67.9,73.2,72.6,83.2,95.1,748.037
69.5,32.6,62.5,96.5,100,823.151
56.6,64.3,68,98.8,89.8,748.037
65.1,93.3,74.8,80.3,42.6,695.607
70.9,21.5,75.1,85,50.2,748.037
59.8,31.6,76.3,90.8,51.8,748.037
68.1,55.9,80.9,72.9,70,748.037
65.5,97.8,72.6,78.7,40.5,746.753
69,85.9,74.9,69,70,695.607
58.7,88,69.2,83.3,47.7,771.256
76.4,68.6,61.3,72.2,98.6,419.868
58.9,56.4,63,88.6,70,748.037
57.9,77.9,56.1,91.4,70,800.895
59.9,67.3,61.9,86.8,42.2,698.496
50.4,97.4,51.8,98.2,64.1,836.098
66.8,44.9,48.2,95.7,30.7,800.895
51.9,93.9,62.4,81,70,771.256
65.8,70,72.7,62.3,73.3,765.585
57.3,44.5,55.9,92.5,31.7,723.534
55.5,43.7,64.6,83.4,70,748.037
57.4,31.2,50.6,99.1,29.2,748.037
55,100,56.1,83.8,38,1296.412
49.4,66.3,54.7,91.6,70,748.037
57.5,70,48.6,92.7,30.3,419.868
64.9,22.1,59.5,78.1,84.2,748.037
57.6,23,69.1,76.4,70,748.037
64.1,28.3,52.3,83.9,70,748.037
57.3,60.5,70.7,68.8,48,748.037
59.7,60.5,57,77.7,70,748.037
61.3,22.6,72.6,67.9,53.9,748.037
78.9,18.4,77.7,46.3,67.1,891.631
74.9,43,66.6,52.7,97.8,419.868
53.6,38.1,51.9,91.4,29.6,748.037
62,31.8,50.7,82.9,70,748.037
63.4,52.3,48.4,77.8,70,748.037
59.1,43.1,57.5,76.4,40.4,723.534
56.4,35.6,45.1,89.1,70,748.037
58.5,25.2,58.3,78.3,37.9,748.037
67.2,56.5,53.8,66,70,748.037
63.5,64,54.9,67.2,70,748.037
46.4,31.7,58.1,83.4,70,748.037
49.6,67.2,53.1,80.9,36.2,698.496
38.3,16.7,50.4,99.6,70,748.037
63.5,53.3,46.7,74.4,70,748.037
49.8,89.6,61.9,64.3,90.8,771.256
62,42.2,55.4,68.6,70,748.037
46.5,87.5,38.8,90.5,52.7,771.256
65.4,31.2,48.7,71.9,70,748.037
53.1,20.9,36.1,95.6,70,748.037
47.7,84.2,45.3,84.4,31.6,806.245
48.5,85.9,54.5,72.1,44.1,698.496
48.5,52.2,43.6,85.8,70,748.037
71.3,36.7,63.4,45.5,100,823.151
42.4,72.8,42.4,91.6,29.1,698.496
51.8,74.2,53.4,69,57.1,771.256
47.9,66.6,46.2,81.9,36.2,698.496
59.2,63.4,47.5,70.3,39.1,723.534
55.8,22.5,54.2,72,70,748.037
39.8,65.7,44.1,91,33.9,698.496
62.4,99.5,56.2,51.6,38.4,698.496
56.5,79.1,56.2,59.2,39,698.496
37.7,92.9,36.2,93.2,30.5,698.496
46.3,56.8,60.8,67.6,33.2,765.585
50.8,69,47.8,72.9,37.7,698.496
56.6,87.9,47,65,43.8,1296.412
54.6,24.4,42.9,79.2,70,748.037
44.7,70,58.7,68.5,70,695.607
42.4,87,36.6,86.3,70,806.245
60.6,39.6,43.1,70.2,70,748.037
52.4,21.9,52.2,70.1,84.2,748.037
50.2,91.3,37.1,78.3,45.8,1296.412
45.4,35.4,48.6,79.2,70,748.037
44.7,31,49.2,79.7,70,748.037
51.1,37.6,34.4,88.8,26.1,800.895
50.4,85.3,43.2,71.2,70,723.534
49,24.2,51.4,75.4,30.2,779.174
44.8,85.7,47.7,72.9,32.6,698.496
50.5,48,54.6,64.9,70,748.037
53.4,26.8,64.7,55.7,70,748.037
57,62.6,67.8,43.9,70,748.037
52.2,34.1,52.6,66.9,50.2,640.288
36.6,83.3,42.1,82.8,70,454.643
46.3,19.9,49.2,77.6,44,748.037
62.3,44.9,54.1,54.6,43,823.151
32.9,71.8,32.5,97.6,26.7,836.098
34.3,47.7,36.1,95.7,32.4,376.747
62.9,24.8,63.4,45.5,60.5,891.631
55.4,44.9,51.7,56.9,99.8,800.681
50.3,29.2,59,61.6,35.7,640.288
38.3,34.2,47.6,81,70,748.037
38.6,63,47.4,78.3,30.5,748.037
46.6,95.7,49.7,63.1,32.7,1296.412
57.7,29.6,62.9,45.2,97.7,780.779
52.2,50.2,46.2,66,43.4,419.868
39.7,91,44.1,73.5,38.9,698.496
50.4,30.4,52.7,63.7,70,748.037
46.2,64,46.9,64.6,95.5,870.766
52.8,24.7,59.1,52.8,97.1,780.779
43.5,73.8,41.9,74.9,28.8,698.496
47.3,40,54.9,59.3,100,800.681
53.7,71.6,58,49.7,44.5,695.607
45.6,55.1,50.3,65.1,61,698.496
36.9,70,49.2,75.9,31.7,765.585
61.7,20.1,63.4,40,73.4,891.631
32.9,70,48.3,79.1,27.4,695.607
60.3,20.1,62.5,41.2,82.3,891.631
52.4,46.2,41.4,64.3,79.8,723.534
48.6,31.7,59.8,54.8,70,748.037
39.9,66.6,42.1,73.1,41.5,1080.593
43.1,84.1,50.5,59.1,42.5,1296.412
48.9,62.7,49.2,58.4,40.3,698.496
56.1,70,49.4,51.9,70,695.607
47.6,30.6,51.6,58.5,81.4,800.681
51.9,30.7,37.2,71.5,26.4,800.895
34.1,54.4,41,79.3,49.3,698.496
34.1,22.3,33.7,91.9,30,585.29
43.4,52.6,53,58.8,55.3,800.681
58.5,24.3,48.8,53,70,800.681
34.8,94.3,39.2,71.8,61.1,777.034
50.3,73.8,50.7,52.1,34.8,698.496
29.5,19.3,28,99.8,36,283.122
49.6,77.9,62.2,40.7,39.5,765.585
39.4,82.9,45.7,62.4,57.2,836.098
37.8,86.1,45.2,64.6,47,698.496
55.5,47.4,67.7,29,99.4,800.681
41.2,88.5,35.8,70.6,27.4,698.496
42.7,80.5,42.8,63.6,31.1,698.496
49.5,70.7,48.9,51.2,60,771.256
35,44.1,33,84.7,40,585.29
48.5,37.7,42.5,63.2,70,748.037
49.3,23.2,49.6,58.2,49.6,748.037
67.3,16.3,41.7,48.9,50.1,748.037
39.4,58.6,43.6,65.5,70,800.681
38.4,16.8,51.9,61.3,100,748.037
43,24.1,44.1,66.9,70,748.037
40.1,31.6,33.6,78,70,748.037
46.1,21.3,50.6,58.9,37.5,640.288
65.1,24.7,44.7,45,70,748.037
42.5,38.2,49.2,60.2,38.8,800.681
40.8,59.8,47.8,59.6,40.6,698.496
38.1,33.4,55.6,57.3,61.5,870.766
46.2,50,48,55.6,38.3,698.496
48.7,40.3,40.9,60.4,70,723.534
41.7,35.5,56.4,54.1,34.2,800.681
46.2,29.3,34.7,70.2,41.2,419.868
39.2,56.1,37.3,69.5,41.6,723.534
39.9,70,35.7,70.4,70,723.534
43.6,96.3,51.7,45,40,746.753
42.1,62.8,40.4,62.8,29.7,698.496
46.8,74.8,44.1,52.5,38.4,698.496
44.1,45.8,45.7,58.3,26.1,870.766
50.9,46.1,44.5,52,27.8,723.534
39.4,87.1,38.8,60.5,40.8,771.256
46.8,46.8,33.8,65.3,29.4,723.534
53.2,57.9,54.4,32.9,98.7,640.288
50,63.8,42.5,48.9,56.6,723.534
39.5,27.2,39.5,66.4,43.9,376.747
40.4,62.8,42.5,57.9,32.2,698.496
49.9,62.4,48.3,42,49.8,800.681
42.7,93.6,40.1,51.3,70,723.534
45,47.3,35.4,60.7,40,723.534
37.9,99.5,34.8,60.2,35,768.153
45.9,57.8,36.3,57.3,32.3,723.534
45,60.6,35.9,58.2,27.4,748.037
43.6,18.9,40.4,61.5,32.5,748.037
43,28,48.7,52.2,40.4,823.151
41.6,44.9,50.2,48.8,70,695.607
49.1,64.2,56.2,29.2,100,765.585
47.6,63.2,45.7,45.6,27,768.153
33.5,15.9,33.3,76.8,26.3,748.037
57.8,51.8,46.8,34.7,70,748.037
54.6,29.6,41.3,44.3,70.3,419.868
32.9,51.9,44.2,60.2,37.9,695.607
43.3,70,49.5,41.7,99.9,765.585
95.7,56,98.2,99.9,97,748.037
95.8,67.5,97.4,99.8,35.9,748.037
94.8,57.2,98.9,99.8,63.8,748.037
89.5,91.9,96.6,97.9,62.1,698.496
91.5,49.6,99.1,100,81,748.037
90.5,85.3,94.2,97.3,55.5,698.496
92.7,79.2,87.4,100,94.4,748.037
88.8,92.2,88.7,93.9,93.1,698.496
89.4,58.8,90.8,99.4,70,748.037
82.8,50.4,99.4,99.4,62.5,748.037
92.3,55.5,91.2,96.7,34.7,748.037
89.1,67.6,81.8,97.8,70,748.037
85.9,41,92.5,97.3,70,748.037
78.9,59.9,86.5,97.3,100,748.037
79.1,97.5,85.8,87.2,70,1296.412
87,34.3,86.1,97.9,41.9,748.037
77.8,91.8,84.3,89,41.4,698.496
75.4,47.2,90,94.3,53.3,748.037
76.9,69,87.4,86.5,44.9,695.607
70.4,53.4,87.2,93.5,70,748.037
65.7,55,79.5,97.4,60.7,748.037
62.6,46.9,77.9,97.4,100,748.037
68.6,88.7,78.6,85.2,40.6,695.607
66.6,65,73.8,91.9,99.2,748.037
70.8,36.9,74,98.2,31.8,748.037
66.3,35.3,75.5,98.6,56.6,748.037
74.3,23.8,77.3,90.6,55.3,748.037
72.8,81.4,78.4,77.1,35.1,695.607
69.5,38.8,76.1,89.6,57.7,748.037
86.1,23,80.3,69.1,76.6,891.631
67.9,50.7,81.3,81.5,70,748.037
69.9,82,73.8,73.1,78.5,765.585
61.4,31.5,72,97.8,51.8,748.037
74,83.7,80.1,60.5,64.1,836.098
55,52.6,65.3,99.9,85,748.037
63,79.8,61.4,92.3,41.3,698.496
62.2,82.5,72.4,80.7,44.4,771.256
62.8,93.8,75.1,72.6,41.7,771.256
68,51.4,68.7,83.4,52.5,748.037
65.7,93,79,63.4,60.7,746.753
64,45.7,58.9,96.1,70,748.037
66.1,25.6,72.5,85.4,70,748.037
67.6,20.2,62.6,92.6,35.5,748.037
60.2,38.1,65.4,92.3,30.9,748.037
63.8,54.3,59.9,84.6,40.7,723.534
53.1,98.9,43.9,95.3,46.7,1296.412
66.4,96,75.4,50.6,41.1,698.496
59,80.4,61.1,75.6,37.7,698.496
59.8,33.4,53.6,93.9,34.9,748.037
82.3,51.7,64.1,51,99.9,419.868
53.5,29.5,66.7,83.4,61.6,748.037
76.4,21.1,72,56.3,71.7,891.631
56.4,25,51.9,92.3,100,823.151
60.7,37.2,46.2,95.6,27.6,748.037
65.8,41.1,48.7,80.2,99.3,748.037
49.8,90,54.2,80.9,40.8,698.496
61.8,42.2,56.2,77.5,49.9,748.037
55.4,88.1,65.7,57.2,92.1,771.256
54.3,26.5,53.9,88.7,37.5,748.037
56.6,66.2,33.5,96.4,44.7,800.895
56.7,87.4,45.9,78.4,43.5,1296.412
51,80.1,58.6,71,59,836.098
50.4,86.1,38.8,89.1,63,800.895
54,27.3,58.3,80.1,53.2,748.037
41.9,72,49.9,85.5,97.5,695.607
44.2,73.7,47.7,89.9,34.8,698.496
52.5,56.7,64.7,63,99.9,780.779
42.8,58.1,53.2,85.7,59.3,800.681
51.4,48,50.9,84.1,32.7,723.534
52.1,26.8,47.6,86.8,64.4,748.037
74.1,33.4,70.1,37.4,99.8,419.868
45.9,39.7,38,99.9,36.2,748.037
57.1,62.3,41.5,78.5,37.6,723.534
47.5,80.8,52.3,70.2,62.6,771.256
48.4,37.3,39.8,90.9,34.4,748.037
50.1,75.9,47.6,66.3,100,800.681
45.8,41.3,37.4,94.5,35.4,748.037
39.5,30.8,42.6,98.2,70,748.037
45.4,54.4,55.3,71.7,48.6,800.681
40.4,61.2,58.5,72.8,32.6,765.585
51.6,25.3,60,69,70,748.037
47,45.7,33.5,94.5,36.4,748.037
32.5,75.8,37.9,96.2,30.5,698.496
56.3,66.7,30.5,81.1,26.2,800.895
37.1,89.1,40.2,83,34.1,698.496
36.2,36.3,42.3,93.5,45.6,748.037
47.2,59.1,65.1,53.3,43.4,765.585
50,65.2,37.1,76.3,47.2,723.534
42.6,33.1,36.2,94.1,27.3,748.037
44.8,30.6,38.7,89.9,70,748.037
39.3,46.8,54.2,75.1,28.9,779.174
41.7,56.4,54.7,68.3,42.5,800.681
54.2,29.9,40.2,78.4,70,748.037
64.2,29.3,54.6,47.1,100,823.151
41.1,35.3,43.6,85.8,28.5,748.037
47.4,34,49.6,73.6,28,748.037
45.1,28.4,43,78.3,86,748.037
56.6,52.6,49.4,57.8,70,748.037
30.6,79.8,34.8,92,28.1,698.496
50.6,71.9,54.4,51.7,53.7,695.607
44.6,68.2,46,67.5,40.2,698.496
37.5,68.1,41,77.5,61.4,698.496
34.3,73.9,41.1,75.3,97.5,454.643
53.5,71.3,66.1,31.2,100,800.681
54.5,79.5,47,48.7,81.3,695.607
41.1,47.3,52.2,63.4,97.8,780.779
28.6,93.3,24.1,98.2,25.9,698.496
56,24.9,58.9,49.5,66.3,891.631
51.3,64.5,54.5,50.1,70,723.534
28.5,29.8,36.6,99.9,29.5,748.037
38.9,92.4,21.9,86,48.6,1296.412
43,77.6,34.6,73.5,38.2,1296.412
42.1,23.3,41,82.3,70,748.037
37.7,56.5,28.7,88.3,29.2,748.037
35.6,67.3,48,62.1,100,800.681
27.5,86.7,40.4,77.8,40.3,1296.412
40.5,75.8,48.5,57.1,62.2,771.256
30.3,89.4,23.5,91.7,29.7,806.245
61.8,21.1,56.5,40,75,891.631
57.7,25.6,55.7,42.9,78.9,891.631
47.7,53,56.4,48.4,25,794.796
36.7,72.7,38.8,71.6,33.9,698.496
46.8,37.7,34.5,73.7,70,748.037
64.6,16.3,50.8,44,42.6,823.151
30.7,69.3,49,64,67,870.766
46.7,25.9,59.9,50.9,70,748.037
38.2,26.1,39,80.3,28.7,748.037
29,88.8,28.6,83.7,36.6,698.496
35.6,78.3,35.5,72.5,39.3,698.496
34.9,97.5,39,65.1,32.7,1296.412
32.6,78.6,35.7,75.4,27.5,698.496
25,48.8,36,90.2,26.8,765.585
44.6,64.8,43.9,57.1,36.4,698.496
32.4,47.3,52.4,62.4,59.9,800.681
44.2,38.3,33.6,73.2,70,748.037
37.8,74.8,31.6,72.1,37,870.766
37,26.4,42.2,74.7,34.7,748.037
52.5,29.1,40.4,57.7,70,748.037
49.5,86.6,41.2,45.2,25.4,768.153
40.2,72.6,40,57.6,36.7,698.496
47.7,21.9,42.1,61.3,70,748.037
35.3,58.8,21.4,85.1,25.1,800.895
27.8,30,30.9,89.6,31,748.037
31.7,32.7,40.4,73.6,49,748.037
26.5,68.5,26.1,85.6,28,698.496
34.2,76.2,28.4,72.2,32.3,698.496
40,19.7,18.9,90.7,27,748.037
42.6,70.3,42.6,50.6,36,698.496
25.9,85.3,25.8,80.8,25.1,698.496
25.3,40.3,27.3,90.2,33.7,748.037
47,69.5,50.2,37.8,36.4,836.098
46.3,62.1,48.5,42.5,30.6,723.534
30.6,84.8,32.2,67.7,44.4,698.496
47.8,20.7,58.5,39.2,40,640.288
43.6,26.4,27,75.3,70,748.037
31.3,73.4,33.3,67.8,35.4,698.496
28.8,65,27.2,77.4,45,800.681
39.7,85.5,44.5,45,31.3,698.496
27.7,52.3,43.8,65.5,33.1,800.681
25.2,83.2,23.7,80.5,32.3,806.245
30.4,48,35.3,70.2,63.2,800.681
43.9,23.9,38.9,56.6,87.8,748.037
36.4,17.2,21.6,86.1,49.1,748.037
42.3,36,51.8,45.7,43.8,748.037
36.9,75.1,38.6,55.4,31.6,698.496
47.3,30.1,60.7,33,35,794.796
53.3,27.2,43.9,43.3,38.6,748.037
36.1,67.1,25.1,67.2,61.8,723.534
41.4,89.8,47.8,34.5,44.4,746.753
23.3,70.7,18.7,88.9,70,800.895
29.2,72.5,34.7,65.5,30.8,780.779
45.7,30.3,23.3,70.3,70,748.037
39.7,65,36.1,49.3,87.5,695.607
28.3,92.9,35,55.7,76.6,777.034
36.1,85.1,40.2,46.8,53.1,771.256
20.8,62.5,20.1,87.1,55.3,698.496
16.8,70.5,31.5,79.2,26.8,695.607
31.9,65.2,24.1,66.8,95.7,870.766
61.7,22.9,58,18.8,33.3,457.96
26.4,29.8,37.2,66.7,98,748.037
30.5,57.6,21.7,75.1,42.4,723.534
34.8,73.1,33.5,55.6,37.1,698.496
33.5,63.9,36.9,56.6,29,1080.593
32.8,28.3,30.1,70.4,49.2,748.037
38.9,49.6,34.8,54.8,36.9,695.607
23.4,54.3,16.1,87.6,37.6,585.29
40.9,82.1,39.5,34.1,100,765.585
34.4,58.1,24.1,67.6,31,723.534
35.7,55.6,18.7,67.8,81.8,723.534
32.1,90,35.8,47.8,58.7,771.256
29,73.5,26.6,65.2,42.1,1080.593
38.9,14.8,23.5,73.6,29.7,419.868
30.2,61.6,35,57.4,50.1,836.098
29,63.7,29.7,62.8,49.9,723.534
26.5,41.4,18.9,83.5,24.2,748.037
34.6,64.9,19.6,65.5,35.6,723.534
49,32.1,14.2,63.5,40.7,748.037
30.6,86.4,30.5,53.9,70,800.681
27.6,84.9,30.3,56.3,34.4,698.496
32.9,56.2,30.4,54.4,76.8,800.681
33.7,45.9,27.9,57.9,37,585.29
27.9,48.5,22.3,60.8,29.4,376.747
28.9,67.8,34,51.7,35.5,698.496
24.6,38.4,22.8,63.7,99.4,748.037
45.5,21.2,39.2,43.8,33.1,891.631
42.7,17.7,44.5,39.7,46.8,640.288
30.4,38,18.9,70,31.1,748.037
38.7,48.9,45,34,33.6,794.796
28,29.8,34.1,58.8,70,748.037
40.8,50.8,18.8,46.7,69.8,723.534
20.8,52,29.2,59.4,26.3,765.585
44.3,49.2,35.6,42,40.9,748.037
32.2,81.7,33.4,43.8,50.7,771.256
24.5,44.1,22.2,71.9,29.5,585.29
29,20.6,24.9,69,32.9,748.037
31.7,90.1,35.9,37,28.3,698.496
44.4,30.6,36.4,37.3,27.7,748.037
25.8,48.4,37.7,55.7,37.7,765.585
23.1,90.7,13.8,65.7,32.8,768.153
48.5,31,14.4,55.6,34.3,748.037
24.5,88.8,28,48,27.8,777.034
34.3,26,29.3,52.1,27.3,748.037
26.7,70.4,17.3,70.3,32.1,800.895
35.8,62.1,44.2,32.5,32.7,695.607
38.8,55.7,34.3,38.5,41.9,695.607
31.3,44,18,63,27.9,723.534
23.6,80.4,25.9,53.5,52.8,780.779
17,58.6,24.2,61.6,70,695.607
25.9,66,37.2,36.3,79.3,765.585
26.9,25.5,32,51.2,70,748.037
43.6,25,10.5,55.7,24.2,748.037
25.5,64.8,30.7,43,72.5,695.607
36.9,37.8,12.2,59.4,29.9,748.037
42.4,36.1,26.2,42.9,40.5,419.868
39.5,23.4,39.6,30.2,49.7,823.151
21.3,93,23.2,46.5,42.3,771.256
36.4,24.2,44.5,25.1,100,640.288
19.6,56.8,30,53,37.6,695.607
25.7,25.9,30.8,53.5,92.9,748.037
28.9,43.5,22.2,49.8,100,765.585
19,17.8,10.3,84.3,27.6,891.631
32.7,34.9,22,52.1,32.2,740.975
34,42.7,34.4,39.7,39.5,695.607
35.2,56.3,21.3,50,27.4,723.534
37.1,34.3,24.3,51.3,35,740.975
22.5,33.2,12.3,78.3,35.6,740.975
38.5,26.9,33.7,37.7,26.5,748.037
24.2,34.3,26,56.2,31.1,740.975
16.7,45.5,12.9,76.9,31.3,740.975
41.5,23.3,33.6,36.9,47.9,823.151
24.9,67.1,23.8,48,29,698.496
19.1,45.2,17,61.6,28.6,723.534
17.4,89.9,20.3,51.7,30,698.496
30.1,62.5,37.3,22.2,72.8,836.098
18.4,56.6,11.1,62.8,73.4,768.153
46.8,19.5,30.7,23.2,75.1,891.631
40.9,25,24.2,42.3,42.9,419.868
24.9,16,30.4,48.5,42.1,640.288
26.9,57.7,26.9,41.5,49.7,1080.593
26.5,89.5,21.3,42,41.9,698.496
34.9,46.6,28.3,36,59.7,723.534
25.4,44.4,30,36.6,99.6,454.643
22.6,69.1,49.4,23.6,36,800.681
27.3,49.2,13.8,57.4,31.9,723.534
25.2,80.6,23.2,39.9,38.9,698.496
24.9,63.8,14,55.1,25.5,768.153
31.3,34.6,29.2,44.3,70,748.037
29.3,47.3,20.9,52.1,33.6,723.534
19.7,73.7,12.4,58,67.9,870.766
23.6,35.9,36.7,44.2,31.1,748.037
25.6,71.7,32.4,32.7,100,454.643
37.2,27.2,26.2,41.4,32,891.631
21.4,88.7,23,43.5,40.4,771.256
16.5,89,21.5,51.1,25.8,777.034
36.9,25.1,40.4,30.3,24.2,748.037
34.7,24.6,16.4,55.2,70,748.037
19.8,63.8,15.5,56.6,35.5,698.496
28.8,39.7,21.4,47.5,32.5,585.29
44.5,18.8,34.3,21.6,38.7,891.631
20,58.9,11.2,59.7,25.3,836.098
25.1,18.9,18.2,48.9,99.1,376.747
47.9,53.3,27.5,11,80,380.064
37,23.5,28.9,35.1,43.2,376.747
24.3,52.9,8.7,62.3,24.9,800.895
21,76.7,26.7,35.5,62.5,771.256
52.3,19.1,33.1,15.2,43.2,457.96
33.3,20.7,14.3,50.5,42.1,419.868
28,71,15.5,39.2,45.1,723.534
42.8,18,22.6,36.7,40.8,891.631
24.4,63.5,14.4,53,32.8,1080.593
21.8,70.7,10.9,55.3,56.2,780.779
13.1,42.6,12.6,66.7,33.2,606.262
24.2,33.3,31.4,38.6,48.9,695.607
10.7,56.9,17.3,62.4,75.4,1089.902
33.2,23.5,20.1,43,27.6,748.037
38.7,18.3,28.4,35.2,70,748.037
27.8,43.3,18.5,49.1,35.1,723.534
18.2,76.3,27.1,35.8,64.8,771.256
14.1,22.6,15.4,70.3,25.3,748.037
21.9,49.7,20,51.5,51,740.975
19.9,57.7,27.7,41.2,41.7,695.607
19,75.3,20,27.1,36.4,870.766
26.2,49,22.2,37.5,61.9,779.174
15.2,31.6,7.8,61.4,34.5,283.122
27.9,47,32.2,15.7,28.5,794.796
18.7,30.8,20.3,46.2,29.5,748.037
24.5,36.2,19.7,45.7,34.7,376.747
16.4,46.7,19.4,52.6,31.3,771.256
32.3,51.4,24.6,31,24.5,482.784
29.3,23.8,17.7,42.6,25.1,748.037
43.8,14.3,15.7,38.8,24.2,258.619
25.1,39.5,16,43.1,25.8,418.691
18,62.6,18.1,39.8,28.1,698.496
32.3,18.3,21.9,26.1,40,891.631
15.9,26.9,13.9,58.3,24.6,748.037
20.2,26.5,18.1,44.9,38.6,748.037
19.6,48.6,18.9,42.8,31.8,765.585
24.3,15.6,37,19.4,42.9,640.288
12.9,49,13.7,58.1,25.8,698.496
24.1,33.6,17.6,33.9,69.8,740.975
29.6,32.4,27.2,29.2,32.8,740.975
39.4,20.5,29.7,19.1,85.2,419.868
28.5,12.7,29.7,19.3,93.1,383.06
31.4,26.6,32.1,23.9,99.4,823.151
20.6,77,19.2,29.4,36.8,806.245
17,48.4,15.9,40.9,34.7,539.173
17.3,76.3,24.3,30.5,26.6,777.034
23.2,33.5,16.1,51.1,30.2,779.174
15.8,37.1,14.1,59.3,34.3,740.975
12.2,76.5,7.7,55.5,27.1,698.496
36.5,27.7,23.6,23.6,31.2,748.037
14.5,66.2,16.7,40.2,28.1,698.496
23.5,68.7,16.4,38.9,64.8,780.779
29.5,40.2,31.7,27.7,40.7,695.607
17.6,18.6,14.5,52.8,29.9,748.037
14.5,26.8,15.7,50.8,27.9,740.975
33.8,20.7,16.1,31.6,32.3,748.037
18.3,26.2,18.5,50.8,35.3,740.975
17.7,42,13,43.9,33.7,539.173
22.1,15,30.1,36.6,94.4,748.037
18.2,69.5,22.2,42,26.6,698.496
32.6,81.5,25.2,12.4,46.9,698.496
22.5,38.3,22.1,44.4,55.1,779.174
18.5,70.5,15,34.9,42.1,771.256
15.8,36.4,10.2,64.3,32.1,585.29
13.3,87,13.9,47.8,24.5,777.034
21.6,35.8,15.7,44.3,70,418.691
26.3,82.5,14.1,24.3,35.2,768.153
23.4,49.4,21.1,36.7,66.2,780.779
28.8,31,24.5,33.5,34.3,748.037
38.8,13.9,27.2,23,84.4,419.868
16.2,84.5,19.9,11.7,26.8,698.496
33.7,22.5,18.7,10.3,47.3,748.037
